,total_count,total_count,avg_confidence,avg_confidence,Final_Sentiment
sentiment,Negative,Positive,Negative,Positive,
movie,,,,,
城市之光,2.0,3.0,0.828012228012085,0.8973602255185446,Positive
大佛普拉斯,1.0,4.0,0.8822933435440063,0.8357719331979752,Positive
大红灯笼高高挂,3.0,2.0,0.8152826031049093,0.7330072224140167,Negative
大话西游之大圣娶亲,3.0,2.0,0.9751384059588114,0.9400114417076111,Negative
大话西游之月光宝盒,1.0,4.0,0.943921446800232,0.8313679397106171,Positive
大闹天宫,4.0,1.0,0.8953770846128464,0.9029486775398254,Negative
大鱼,1.0,4.0,0.8646681904792786,0.9845513999462128,Positive
天书奇谭,3.0,2.0,0.945857564608256,0.6518851220607758,Negative
天使爱美丽,2.0,3.0,0.9363207221031189,0.934728741645813,Positive
天堂电影院,4.0,1.0,0.9121250510215759,0.9867689609527588,Negative
天空之城,0.0,5.0,0.0,0.9151137113571167,Positive
头号玩家,1.0,4.0,0.984950304031372,0.829229936003685,Positive
头脑特工队,0.0,5.0,0.0,0.9888174414634705,Positive
奇迹男孩,1.0,4.0,0.8117048144340515,0.842567190527916,Positive
完美的世界,1.0,4.0,0.6228286623954773,0.8057881444692612,Positive
寄生虫,4.0,1.0,0.8110005110502243,0.9585484266281128,Negative
寻梦环游记,0.0,5.0,0.0,0.8834437131881714,Positive
射雕英雄传之东成西就,2.0,3.0,0.888247013092041,0.7849444548288981,Positive
小丑,0.0,5.0,0.0,0.8337000012397766,Positive
小偷家族,3.0,2.0,0.6372421383857727,0.7813900709152222,Negative
小森林 冬春篇,3.0,2.0,0.8284457325935364,0.9551367163658142,Negative
小森林 夏秋篇,2.0,3.0,0.7828080356121063,0.9839938481648765,Positive
小鞋子,2.0,3.0,0.8006922602653503,0.9450156688690186,Positive
少年派的奇幻漂流,3.0,2.0,0.8872564435005188,0.933438003063202,Negative
岁月神偷,2.0,3.0,0.6262417137622833,0.9878829518953959,Positive
崖上的波妞,2.0,3.0,0.784185141324997,0.9974916179974874,Positive
布达佩斯大饭店,1.0,4.0,0.7586274743080139,0.8593911975622176,Positive
幸福终点站,1.0,4.0,0.983440637588501,0.9903751611709596,Positive
幽灵公主,0.0,5.0,0.0,0.960538363456726,Positive
当幸福来敲门,1.0,4.0,0.9419361352920532,0.9775483012199402,Positive
彗星来的那一夜,2.0,3.0,0.9281837046146393,0.9905837774276732,Positive
心灵奇旅,0.0,5.0,0.0,0.9940145134925842,Positive
心灵捕手,0.0,5.0,0.0,0.9521681427955627,Positive
心迷宫,0.0,5.0,0.0,0.9740642070770263,Positive
忠犬八公物语,1.0,4.0,0.8964642882347107,0.9180119931697845,Positive
忠犬八公的故事,3.0,2.0,0.9452075560887655,0.9924378991127014,Negative
怦然心动,2.0,3.0,0.7758357226848602,0.8793742656707764,Positive
怪兽电力公司,1.0,4.0,0.992297112941742,0.9521832466125488,Positive
恋恋笔记本,0.0,5.0,0.0,0.8210991382598877,Positive
恐怖游轮,3.0,2.0,0.6987156470616659,0.8715726435184479,Negative
恐怖直播,4.0,1.0,0.9424480646848679,0.7320603132247925,Negative
情书,3.0,2.0,0.8449889620145162,0.9695805311203004,Negative
惊魂记,3.0,2.0,0.8033075332641602,0.9366694390773773,Negative
我不是药神,2.0,3.0,0.7748126089572906,0.9709764122962952,Positive
我是山姆,3.0,2.0,0.8339579900105795,0.9396147131919861,Negative
战争之王,2.0,3.0,0.8013085722923279,0.699822187423706,Positive
房间,0.0,5.0,0.0,0.9915006399154664,Positive
拯救大兵瑞恩,0.0,5.0,0.0,0.8928837060928345,Positive
指环王1：护戒使者,0.0,5.0,0.0,0.9295443654060364,Positive
指环王2：双塔奇兵,2.0,3.0,0.7302985191345215,0.9098134636878967,Positive
指环王3：王者无敌,1.0,4.0,0.6333616375923157,0.8597096502780914,Positive
控方证人,3.0,2.0,0.9677363832791648,0.9818884432315826,Negative
搏击俱乐部,1.0,4.0,0.6404968500137329,0.9184987992048264,Positive
摔跤吧！爸爸,3.0,2.0,0.7664676109949747,0.8215563595294952,Negative
摩登时代,2.0,3.0,0.9360128939151764,0.8727377454439799,Positive
攻壳机动队,0.0,5.0,0.0,0.9915006399154664,Positive
放牛班的春天,2.0,3.0,0.6577078104019165,0.9923208753267924,Positive
教父,3.0,2.0,0.7966509262720743,0.8743931949138641,Negative
教父2,0.0,5.0,0.0,0.8350813627243042,Positive
教父3,2.0,3.0,0.9440684914588928,0.8504355351130167,Positive
断背山,3.0,2.0,0.9792590936024984,0.6639719903469086,Negative
新世界,4.0,1.0,0.7580711543560028,0.9896702170372008,Negative
新龙门客栈,3.0,2.0,0.8431445558865865,0.8190055191516876,Negative
无人知晓,1.0,4.0,0.9960353970527648,0.8617986589670181,Positive
无敌破坏王,3.0,2.0,0.9184497793515524,0.7907326817512512,Negative
无耻混蛋,3.0,2.0,0.8634439905484518,0.6567879319190979,Negative
无间道,0.0,5.0,0.0,0.8222210645675659,Positive
无间道2,1.0,4.0,0.9976486563682556,0.9162310808897018,Positive
时空恋旅人,1.0,4.0,0.9969035983085632,0.9721928685903548,Positive
星际穿越,3.0,3.0,0.8094112674395243,0.9595192273457845,Positive
春光乍泄,1.0,4.0,0.8717957735061646,0.9141080230474473,Positive
未麻的部屋,4.0,1.0,0.7805507481098175,0.9850133061408995,Negative
末代皇帝,3.0,2.0,0.8362618684768677,0.8288351893424988,Negative
末路狂花,1.0,4.0,0.949736475944519,0.7438274770975113,Positive
本杰明·巴顿奇事,1.0,4.0,0.9993048906326294,0.8441184163093567,Positive
机器人之梦,0.0,5.0,0.0,0.9215319275856018,Positive
机器人总动员,1.0,4.0,0.710993766784668,0.8695105165243149,Positive
杀人回忆,1.0,4.0,0.7139996886253357,0.8894191682338715,Positive
楚门的世界,1.0,4.0,0.6388968229293823,0.8764484077692032,Positive
模仿游戏,1.0,4.0,0.6491607427597046,0.9249605536460876,Positive
步履不停,0.0,5.0,0.0,0.9661472797393799,Positive
死亡诗社,0.0,5.0,0.0,0.8694293022155761,Positive
沉默的羔羊,0.0,5.0,0.0,0.9587339043617249,Positive
波西米亚狂想曲,3.0,2.0,0.6423453688621521,0.9734474420547484,Negative
泰坦尼克号,1.0,4.0,0.7180889248847961,0.8843711763620377,Positive
活着,0.0,5.0,0.0,0.8273044109344483,Positive
海上钢琴师,1.0,0.0,0.8425360918045044,0.0,Negative
海蒂和爷爷,1.0,4.0,0.9169384837150574,0.9423720836639404,Positive
海街日记,3.0,2.0,0.9405268629391988,0.8448246419429779,Negative
海豚湾,2.0,3.0,0.6250660121440887,0.7333271503448486,Positive
海边的曼彻斯特,3.0,2.0,0.7232157985369364,0.8816421627998352,Negative
消失的爱人,3.0,2.0,0.8239683906237284,0.7575958967208862,Negative
源代码,1.0,4.0,0.9643611311912536,0.9667767435312272,Positive
火星救援,1.0,4.0,0.7285100221633911,0.9130133539438248,Positive
熔炉,2.0,3.0,0.9318955540657043,0.9789937337239584,Positive
爆裂鼓手,4.0,1.0,0.9581866413354874,0.8710711598396301,Negative
爱乐之城,2.0,3.0,0.8448692262172699,0.851958692073822,Positive
爱在午夜降临前,4.0,1.0,0.848329707980156,0.9728662967681884,Negative
爱在日落黄昏时,3.0,2.0,0.916676918665568,0.985637366771698,Negative
爱在黎明破晓前,1.0,4.0,0.931671679019928,0.7918792515993118,Positive
牯岭街少年杀人事件,5.0,0.0,0.7877175807952881,0.0,Negative
狩猎,4.0,1.0,0.6699217408895493,0.9859071969985962,Negative
狮子王,4.0,1.0,0.9673135727643968,0.9774957895278932,Negative
猫鼠游戏,2.0,3.0,0.8929296135902405,0.9367754459381104,Positive
玛丽和麦克斯,2.0,3.0,0.8130889236927032,0.7638370990753174,Positive
玩具总动员3,1.0,4.0,0.723637044429779,0.9178878366947174,Positive
甜蜜蜜,3.0,2.0,0.8262442946434021,0.9405509531497955,Negative
电锯惊魂,3.0,2.0,0.7442171772321066,0.8688178956508636,Negative
疯狂动物城,1.0,4.0,0.6973976492881775,0.9360456168651581,Positive
疯狂原始人,2.0,3.0,0.8385021388530731,0.8897432486216227,Positive
疯狂的石头,1.0,4.0,0.8141589164733887,0.9461339116096498,Positive
疯狂的麦克斯4：狂暴之路,2.0,3.0,0.9985970854759216,0.9533668955167136,Positive
白日梦想家,2.0,3.0,0.6564622819423676,0.8971288005510966,Positive
盗梦空间,3.0,2.0,0.7513491710027059,0.8680961728096008,Negative
看不见的客人,1.0,4.0,0.8536421060562134,0.9817308336496352,Positive
真爱至上,2.0,3.0,0.8777099847793579,0.990864892800649,Positive
神偷奶爸,1.0,4.0,0.8363108038902283,0.853456050157547,Positive
禁闭岛,2.0,3.0,0.9333540201187134,0.8428041338920593,Positive
穿条纹睡衣的男孩,3.0,2.0,0.8316361506779989,0.806865394115448,Negative
窃听风暴,1.0,4.0,0.8580953478813171,0.6678771674633026,Positive
第六感,1.0,4.0,0.8470743894577026,0.9211800396442413,Positive
素媛,0.0,5.0,0.0,0.8612632870674133,Positive
红辣椒,1.0,4.0,0.9589843153953552,0.8069733381271362,Positive
纵横四海,2.0,3.0,0.7754022479057312,0.8649177352587382,Positive
终结者2：审判日,2.0,3.0,0.975105345249176,0.9627802968025208,Positive
绿皮书,2.0,3.0,0.8370037078857422,0.8904767235120138,Positive
绿里奇迹,3.0,2.0,0.971213698387146,0.720573216676712,Negative
罗生门,2.0,3.0,0.8777099847793579,0.990864892800649,Positive
罗马假日,4.0,1.0,0.868275061249733,0.773390531539917,Negative
美丽人生,1.0,4.0,0.981776773929596,0.844323992729187,Positive
美丽心灵,1.0,4.0,0.7609309554100037,0.9123105406761169,Positive
美国往事,2.0,3.0,0.974749356508255,0.6993306279182434,Positive
肖申克的救赎,1.0,4.0,0.980215549468994,0.8897469788789749,Positive
背靠背，脸对脸,3.0,2.0,0.934351921081543,0.9718134999275208,Negative
致命ID,2.0,3.0,0.961956650018692,0.8438100417455038,Positive
致命魔术,4.0,1.0,0.7933383882045746,0.6367931962013245,Negative
色，戒,2.0,3.0,0.9962082505226136,0.9546705683072408,Positive
芙蓉镇,4.0,1.0,0.832436814904213,0.9957450032234192,Negative
花束般的恋爱,3.0,2.0,0.84358016649882,0.9512428641319276,Negative
花样年华,2.0,3.0,0.769681841135025,0.917422870794932,Positive
英雄本色,0.0,5.0,0.0,0.9578631162643433,Positive
茶馆,3.0,2.0,0.8824476202329,0.673234611749649,Negative
荒蛮故事,3.0,2.0,0.827948788801829,0.7134607136249542,Negative
菊次郎的夏天,4.0,1.0,0.6918598413467407,0.9957173466682434,Negative
萤火之森,3.0,2.0,0.9801839590072632,0.9798016846179962,Negative
萤火虫之墓,3.0,2.0,0.9049369891484579,0.970495343208313,Negative
虎口脱险,2.0,3.0,0.9651256203651428,0.8625561396280924,Positive
蜘蛛侠：平行宇宙,0.0,5.0,0.0,0.9915006399154664,Positive
蝙蝠侠：黑暗骑士,0.0,5.0,0.0,0.8901592254638672,Positive
蝙蝠侠：黑暗骑士崛起,3.0,2.0,0.8988834420839945,0.6821976900100708,Negative
蝴蝶效应,3.0,2.0,0.9234979947408041,0.9933222234249116,Negative
血战钢锯岭,1.0,4.0,0.5919392704963684,0.8796537071466446,Positive
血钻,0.0,5.0,0.0,0.9915006399154664,Positive
被嫌弃的松子的一生,3.0,2.0,0.985478937625885,0.7698958218097687,Negative
被解救的姜戈,3.0,2.0,0.9710103273391724,0.7858548164367676,Negative
西西里的美丽传说,3.0,2.0,0.919550895690918,0.8429670035839081,Negative
触不可及,1.0,4.0,0.9947305917739868,0.9459525048732758,Positive
让子弹飞,2.0,3.0,0.9991589188575744,0.9412069121996561,Positive
记忆碎片,2.0,3.0,0.9364622831344604,0.7136003573735555,Positive
请以你的名字呼唤我,1.0,4.0,0.9802771210670472,0.9499983638525009,Positive
谍影重重,0.0,5.0,0.0,0.9915006399154664,Positive
谍影重重2,3.0,2.0,0.752396285533905,0.9761082530021667,Negative
谍影重重3,1.0,4.0,0.9991899132728576,0.9752740412950516,Positive
贫民窟的百万富翁,1.0,4.0,0.9643611311912536,0.9667767435312272,Positive
超能陆战队,0.0,5.0,0.0,0.9344781160354614,Positive
超脱,1.0,4.0,0.9904993176460266,0.7717446386814117,Positive
辛德勒的名单,1.0,4.0,0.9966854453086852,0.7772136926651001,Positive
辩护人,1.0,4.0,0.9607853293418884,0.9188332855701447,Positive
达拉斯买家俱乐部,1.0,4.0,0.6963926553726196,0.8206690549850464,Positive
还有明天,2.0,3.0,0.9732379913330078,0.829038163026174,Positive
这个杀手不太冷,2.0,3.0,0.687213808298111,0.9889301657676696,Positive
遗愿清单,1.0,4.0,0.8819457292556763,0.8430316895246506,Positive
重庆森林,3.0,2.0,0.9081753293673197,0.8611092269420624,Negative
釜山行,2.0,3.0,0.9928725361824036,0.7892875075340271,Positive
钢琴家,4.0,1.0,0.8449411541223526,0.9720664620399476,Negative
闻香识女人,1.0,4.0,0.5132559537887573,0.8441717326641083,Positive
阳光姐妹淘,2.0,3.0,0.8429509401321411,0.8340137402216593,Positive
阳光灿烂的日子,1.0,4.0,0.5770845413208008,0.8740212917327881,Positive
阿凡达,3.0,2.0,0.847935676574707,0.8383631706237793,Negative
阿甘正传,1.0,4.0,0.9302539825439452,0.8847908824682236,Positive
隐藏人物,0.0,5.0,0.0,0.9915006399154664,Positive
雨中曲,3.0,2.0,0.931903084119161,0.8076508343219757,Negative
雨人,2.0,3.0,0.9812746942043304,0.9188760916392008,Positive
霸王别姬,5.0,0.0,0.8878386378288269,0.0,Negative
青蛇,3.0,2.0,0.9152164856592814,0.8426439464092255,Negative
音乐之声,1.0,4.0,0.899520218372345,0.6509872823953629,Positive
风之谷,0.0,5.0,0.0,0.8529724240303039,Positive
飞屋环游记,2.0,3.0,0.8245651721954346,0.9071886936823527,Positive
飞越疯人院,3.0,2.0,0.790891965230306,0.9686332941055298,Negative
饮食男女,2.0,3.0,0.986502319574356,0.9589982231458029,Positive
驯龙高手,3.0,2.0,0.8724103768666586,0.579626053571701,Negative
高山下的花环,2.0,3.0,0.986269623041153,0.8086216052373251,Positive
鬼子来了,2.0,3.0,0.9616006314754486,0.848534365495046,Positive
魂断蓝桥,0.0,5.0,0.0,0.9915006399154664,Positive
魔女宅急便,1.0,4.0,0.7461743354797363,0.9337368160486221,Positive
黑天鹅,5.0,0.0,0.7673749446868896,0.0,Negative
黑客帝国,0.0,5.0,0.0,0.799682867527008,Positive
黑客帝国2：重装上阵,2.0,3.0,0.9416819512844086,0.8979843258857727,Positive
黑客帝国3：矩阵革命,2.0,3.0,0.970864087343216,0.9446187416712443,Positive
龙猫,2.0,3.0,0.7180942893028259,0.9153412381807963,Positive
